0.178685,-0.562187,0.053325,3.134438,-0.009414,1.576738
0.307554,-0.651169,0.242004,3.132228,0.010995,1.536985
0.624887,0.034163,0.044957,3.132256,0.004483,-3.114604
0.625548,0.032422,0.097355,-3.125383,0.019057,3.113537
0.629718,0.029209,-0.037629,-3.138730,0.016928,3.080586
0.578014,0.030614,-0.056244,-3.107187,-0.002521,3.058067
0.681749,0.031004,-0.060327,3.139915,-0.006095,3.097448
0.627036,-0.023692,-0.058555,3.126251,-0.039442,3.077761
0.636912,0.084810,-0.059037,-3.087982,-0.035873,3.066320
0.643775,0.015217,-0.044134,-3.129505,0.001788,3.071028
-0.140051,-0.455549,0.079595,-3.123409,0.036515,1.596368
-0.139566,-0.455687,0.022556,-3.128169,0.004430,1.652479
0.176097,-0.564014,0.194615,3.119474,0.008599,1.556592
0.177518,-0.559312,0.126350,3.138166,0.011675,1.519427
-0.143026,-0.457951,-0.007764,3.131571,-0.031745,1.573469
0.177020,-0.561154,0.095990,3.135981,0.010963,1.542125
